FREQ;UNIT;INDIC_PS;GEO\TIME_PERIOD,2012 ,2013 ,2014 ,2015 ,2016 ,2017
A;EUR;PRI904;SE,14.24 ,14.33 ,13.63 ,13.26 ,14.79 ,14.53
A;EUR;PRI904;SI,3.09 ,3.09 ,3.10 ,3.73 ,3.73 ,3.73
A;EUR;PRI904;SK,2.80 ,2.80 ,2.80 ,2.80 ,2.70 ,2.70
A;EUR;PRI904;UK,6.53 ,8.07 ,6.76 ,7.51 ,6.72 ,6.28
A;FTE;EMP101_01_02;AT,: ,18562 ,18333 ,17533 ,: c,: c
A;FTE;EMP101_01_02;BE,26625 ,25683 ,24631 ,23847 ,23708 ,22361
A;FTE;EMP101_01_02;BG,3405 ,3258 ,3153 ,3089 ,3069 ,2687
A;FTE;EMP101_01_02;CH,36658 ,36027 ,36257 ,35189 ,: ,:
A;FTE;EMP101_01_02;CY,547 ,547 ,671 ,646 ,643 ,638
A;FTE;EMP101_01_02;CZ,: ,24667 ,23789 ,23521 ,23387 ,23132
A;FTE;EMP101_01_02;DE,149350 ,: ,: ,: ,: ,:
A;FTE;EMP101_01_02;DK,13386 ,12727 ,11772 ,10166 ,9116 ,7818
A;FTE;EMP101_01_02;EE,: ,: ,: ,: ,1643 ,1602
A;FTE;EMP101_01_02;EL,: ,7977 ,7185 ,6859 ,8004 ,7212
A;FTE;EMP101_01_02;ES,: ,41172 ,39541 ,38676 ,49785 b,51205
A;FTE;EMP101_01_02;FI,11899 ,11614 ,11131 ,11115 ,11814 ,11497
A;FTE;EMP101_01_02;FR,: ,: ,: ,: ,: ,:
A;FTE;EMP101_01_02;HR,: ,: ,: ,: ,: ,:
A;FTE;EMP101_01_02;HU,30102 ,24602 ,21625 ,27007 ,26590 ,28279
A;FTE;EMP101_01_02;IE,8110 ,7788 ,7683 ,7519 ,7600 ,7550
A;FTE;EMP101_01_02;IS,896 ,786 ,790 ,793 ,833 ,878
A;FTE;EMP101_01_02;IT,140977 ,140977 ,: c,: c,: c,: c
A;FTE;EMP101_01_02;LT,1 ,: ,: ,: ,: ,:
A;FTE;EMP101_01_02;LU,1402 ,0 ,1201 ,1215 ,1215 ,1191
A;FTE;EMP101_01_02;LV,4215 ,4095 ,4189 ,4236 ,4239 ,4100
A;FTE;EMP101_01_02;MK,: ,0 ,534 ,495 ,711 ,836
